date,Appliances
2016-01-1213:30:00,140
2016-01-1213:40:00,240
2016-01-1213:50:00,50
2016-01-1214:00:00,60
2016-01-1214:10:00,60
2016-01-1214:20:00,60
2016-01-1214:30:00,370
2016-01-1214:40:00,200
2016-01-1214:50:00,70
2016-01-1215:00:00,50
2016-01-1215:10:00,40
2016-01-1215:20:00,40
2016-01-1215:30:00,30
2016-01-1215:40:00,30
2016-01-1215:50:00,30
2016-01-1216:00:00,30
2016-01-1216:10:00,40
2016-01-1216:20:00,50
2016-01-1216:30:00,40
2016-01-1216:40:00,40
2016-01-1216:50:00,40
2016-01-1217:00:00,60
2016-01-1217:10:00,60
2016-01-1217:20:00,210
2016-01-1217:30:00,380
2016-01-1217:40:00,370
2016-01-1217:50:00,230
2016-01-1218:00:00,80
2016-01-1218:10:00,90
2016-01-1218:20:00,70
2016-01-1218:30:00,40
2016-01-1218:40:00,40
2016-01-1218:50:00,30
2016-01-1219:00:00,50
2016-01-1219:10:00,50
2016-01-1219:20:00,60
2016-01-1219:30:00,50
2016-01-1219:40:00,60
2016-01-1219:50:00,60
2016-01-1220:00:00,60
2016-01-1220:10:00,50
2016-01-1220:20:00,50
2016-01-1220:30:00,50
2016-01-1220:40:00,50
2016-01-1220:50:00,50
2016-01-1221:00:00,60
2016-01-1221:10:00,60
2016-01-1221:20:00,40
2016-01-1221:30:00,30
2016-01-1221:40:00,30
2016-01-1221:50:00,30
2016-01-1222:00:00,40
2016-01-1222:10:00,50
2016-01-1222:20:00,50
2016-01-1222:30:00,50
2016-01-1222:40:00,40
2016-01-1222:50:00,50
2016-01-1223:00:00,40
2016-01-1223:10:00,40
2016-01-1223:20:00,40
2016-01-1223:30:00,40
2016-01-1223:40:00,50
2016-01-1223:50:00,50
2016-01-1300:00:00,50
2016-01-1300:10:00,30
2016-01-1300:20:00,20
2016-01-1300:30:00,30
2016-01-1300:40:00,20
2016-01-1300:50:00,40
2016-01-1301:00:00,50
2016-01-1301:10:00,60
2016-01-1301:20:00,50
2016-01-1301:30:00,40
2016-01-1301:40:00,40
2016-01-1301:50:00,50
2016-01-1302:00:00,40
2016-01-1302:10:00,40
2016-01-1302:20:00,50
2016-01-1302:30:00,50
2016-01-1302:40:00,50
2016-01-1302:50:00,40
2016-01-1303:00:00,30
2016-01-1303:10:00,20
2016-01-1303:20:00,20
2016-01-1303:30:00,20
2016-01-1303:40:00,50
2016-01-1303:50:00,50
2016-01-1304:00:00,50
2016-01-1304:10:00,40
2016-01-1304:20:00,40
2016-01-1304:30:00,50
2016-01-1304:40:00,40
2016-01-1304:50:00,50
2016-01-1305:00:00,50
2016-01-1305:10:00,50
2016-01-1305:20:00,40
2016-01-1305:30:00,40
2016-01-1305:40:00,50
2016-01-1305:50:00,20
2016-01-1306:00:00,20
2016-01-1306:10:00,50
2016-01-1306:20:00,30
2016-01-1306:30:00,50
2016-01-1306:40:00,50
2016-01-1306:50:00,200
2016-01-1307:00:00,110
2016-01-1307:10:00,80
2016-01-1307:20:00,50
2016-01-1307:30:00,50
2016-01-1307:40:00,50
2016-01-1307:50:00,40
2016-01-1308:00:00,40
2016-01-1308:10:00,30
2016-01-1308:20:00,180
2016-01-1308:30:00,350
2016-01-1308:40:00,350
2016-01-1308:50:00,300
2016-01-1309:00:00,400
2016-01-1309:10:00,390
2016-01-1309:20:00,290
2016-01-1309:30:00,60
2016-01-1309:40:00,70
2016-01-1309:50:00,110
2016-01-1310:00:00,90
2016-01-1310:10:00,60
2016-01-1310:20:00,70
2016-01-1310:30:00,80
2016-01-1310:40:00,60
2016-01-1310:50:00,40
2016-01-1311:00:00,30
2016-01-1311:10:00,70
2016-01-1311:20:00,50
2016-01-1311:30:00,80
2016-01-1311:40:00,80
2016-01-1311:50:00,50
2016-01-1312:00:00,40
2016-01-1312:10:00,50
2016-01-1312:20:00,40
2016-01-1312:30:00,40
2016-01-1312:40:00,50
2016-01-1312:50:00,30
2016-01-1313:00:00,30
2016-01-1313:10:00,20
2016-01-1313:20:00,20
2016-01-1313:30:00,50
2016-01-1313:40:00,40
2016-01-1313:50:00,50
2016-01-1314:00:00,40
2016-01-1314:10:00,60
2016-01-1314:20:00,40
2016-01-1314:30:00,40
2016-01-1314:40:00,50
2016-01-1314:50:00,40
2016-01-1315:00:00,40
2016-01-1315:10:00,30
2016-01-1315:20:00,30
2016-01-1315:30:00,30
2016-01-1315:40:00,40
2016-01-1315:50:00,80
2016-01-1316:00:00,70
2016-01-1316:10:00,80
2016-01-1316:20:00,70
2016-01-1316:30:00,80
2016-01-1316:40:00,80
2016-01-1316:50:00,100
2016-01-1317:00:00,90
2016-01-1317:10:00,100
2016-01-1317:20:00,90
2016-01-1317:30:00,110
2016-01-1317:40:00,90
2016-01-1317:50:00,100
2016-01-1318:00:00,100
2016-01-1318:10:00,110
2016-01-1318:20:00,100
2016-01-1318:30:00,90
2016-01-1318:40:00,90
2016-01-1318:50:00,180
2016-01-1319:00:00,140
2016-01-1319:10:00,100
2016-01-1319:20:00,110
2016-01-1319:30:00,340
2016-01-1319:40:00,380
2016-01-1319:50:00,210
2016-01-1320:00:00,150
2016-01-1320:10:00,330
2016-01-1320:20:00,420
2016-01-1320:30:00,330
2016-01-1320:40:00,130
2016-01-1320:50:00,130
2016-01-1321:00:00,110
2016-01-1321:10:00,250
2016-01-1321:20:00,520
2016-01-1321:30:00,360
2016-01-1321:40:00,330
2016-01-1321:50:00,310
2016-01-1322:00:00,270
2016-01-1322:10:00,230
2016-01-1322:20:00,170
2016-01-1322:30:00,60
2016-01-1322:40:00,30
2016-01-1322:50:00,30
2016-01-1323:00:00,30
2016-01-1323:10:00,40
2016-01-1323:20:00,50
2016-01-1323:30:00,50
2016-01-1323:40:00,40
2016-01-1323:50:00,40
2016-01-1400:00:00,50
2016-01-1400:10:00,50
2016-01-1400:20:00,40
2016-01-1400:30:00,60
2016-01-1400:40:00,40
2016-01-1400:50:00,40
2016-01-1401:00:00,50
2016-01-1401:10:00,40
2016-01-1401:20:00,30
2016-01-1401:30:00,30
2016-01-1401:40:00,30
2016-01-1401:50:00,40
2016-01-1402:00:00,40
2016-01-1402:10:00,50
2016-01-1402:20:00,40
2016-01-1402:30:00,40
2016-01-1402:40:00,40
2016-01-1402:50:00,50
2016-01-1403:00:00,50
2016-01-1403:10:00,50
2016-01-1403:20:00,40
2016-01-1403:30:00,50
2016-01-1403:40:00,40
2016-01-1403:50:00,40
2016-01-1404:00:00,20
2016-01-1404:10:00,30
2016-01-1404:20:00,30
2016-01-1404:30:00,40
2016-01-1404:40:00,50
2016-01-1404:50:00,40
2016-01-1405:00:00,40
2016-01-1405:10:00,50
2016-01-1405:20:00,40
2016-01-1405:30:00,50
2016-01-1405:40:00,50
2016-01-1405:50:00,40
2016-01-1406:00:00,50
2016-01-1406:10:00,40
2016-01-1406:20:00,40
2016-01-1406:30:00,40
2016-01-1406:40:00,40
2016-01-1406:50:00,30
2016-01-1407:00:00,70
2016-01-1407:10:00,360
2016-01-1407:20:00,400
2016-01-1407:30:00,70
2016-01-1407:40:00,70
2016-01-1407:50:00,390
2016-01-1408:00:00,100
2016-01-1408:10:00,80
2016-01-1408:20:00,70
2016-01-1408:30:00,170
2016-01-1408:40:00,360
2016-01-1408:50:00,180
2016-01-1409:00:00,130
2016-01-1409:10:00,70
2016-01-1409:20:00,70
2016-01-1409:30:00,180
2016-01-1409:40:00,170
2016-01-1409:50:00,390
2016-01-1410:00:00,420
2016-01-1410:10:00,340
2016-01-1410:20:00,550
2016-01-1410:30:00,690
2016-01-1410:40:00,620
2016-01-1410:50:00,610
2016-01-1411:00:00,490
2016-01-1411:10:00,260
2016-01-1411:20:00,240
2016-01-1411:30:00,220
2016-01-1411:40:00,130
2016-01-1411:50:00,90
2016-01-1412:00:00,290
2016-01-1412:10:00,410
2016-01-1412:20:00,320
2016-01-1412:30:00,260
2016-01-1412:40:00,210
2016-01-1412:50:00,210
2016-01-1413:00:00,140
2016-01-1413:10:00,60
2016-01-1413:20:00,50
2016-01-1413:30:00,60
2016-01-1413:40:00,50
2016-01-1413:50:00,60
2016-01-1414:00:00,140
2016-01-1414:10:00,270
2016-01-1414:20:00,200
2016-01-1414:30:00,60
2016-01-1414:40:00,50
2016-01-1414:50:00,60
2016-01-1415:00:00,80
2016-01-1415:10:00,50
2016-01-1415:20:00,40
2016-01-1415:30:00,50
2016-01-1415:40:00,50
2016-01-1415:50:00,40
2016-01-1416:00:00,30
2016-01-1416:10:00,30
2016-01-1416:20:00,200
2016-01-1416:30:00,450
2016-01-1416:40:00,400
2016-01-1416:50:00,740
2016-01-1417:00:00,910
2016-01-1417:10:00,610
2016-01-1417:20:00,510
2016-01-1417:30:00,190
2016-01-1417:40:00,110
2016-01-1417:50:00,100
2016-01-1418:00:00,90
2016-01-1418:10:00,110
2016-01-1418:20:00,100
2016-01-1418:30:00,110
2016-01-1418:40:00,100
2016-01-1418:50:00,790
2016-01-1419:00:00,380
2016-01-1419:10:00,360
2016-01-1419:20:00,360
2016-01-1419:30:00,100
2016-01-1419:40:00,100
2016-01-1419:50:00,90
2016-01-1420:00:00,90
2016-01-1420:10:00,110
2016-01-1420:20:00,140
2016-01-1420:30:00,110
2016-01-1420:40:00,100
2016-01-1420:50:00,110
2016-01-1421:00:00,130
2016-01-1421:10:00,140
2016-01-1421:20:00,130
2016-01-1421:30:00,120
2016-01-1421:40:00,100
2016-01-1421:50:00,80
2016-01-1422:00:00,50
2016-01-1422:10:00,50
2016-01-1422:20:00,50
2016-01-1422:30:00,40
2016-01-1422:40:00,50
2016-01-1422:50:00,50
2016-01-1423:00:00,50
2016-01-1423:10:00,40
2016-01-1423:20:00,30
2016-01-1423:30:00,30
2016-01-1423:40:00,40
2016-01-1423:50:00,40
2016-01-1500:00:00,50
2016-01-1500:10:00,60
2016-01-1500:20:00,50
2016-01-1500:30:00,60
2016-01-1500:40:00,50
2016-01-1500:50:00,50
2016-01-1501:00:00,50
2016-01-1501:10:00,50
2016-01-1501:20:00,50
2016-01-1501:30:00,50
2016-01-1501:40:00,60
2016-01-1501:50:00,50
2016-01-1502:00:00,50
2016-01-1502:10:00,50
2016-01-1502:20:00,50
2016-01-1502:30:00,40
2016-01-1502:40:00,50
2016-01-1502:50:00,40
2016-01-1503:00:00,30
2016-01-1503:10:00,40
2016-01-1503:20:00,30
2016-01-1503:30:00,60
2016-01-1503:40:00,50
2016-01-1503:50:00,50
2016-01-1504:00:00,40
2016-01-1504:10:00,50
2016-01-1504:20:00,60
2016-01-1504:30:00,50
2016-01-1504:40:00,50
2016-01-1504:50:00,50
2016-01-1505:00:00,50
2016-01-1505:10:00,40
2016-01-1505:20:00,50
2016-01-1505:30:00,50
2016-01-1505:40:00,50
2016-01-1505:50:00,60
2016-01-1506:00:00,50
2016-01-1506:10:00,40
2016-01-1506:20:00,50
2016-01-1506:30:00,50
2016-01-1506:40:00,50
2016-01-1506:50:00,30
2016-01-1507:00:00,70
2016-01-1507:10:00,50
2016-01-1507:20:00,50
2016-01-1507:30:00,50
2016-01-1507:40:00,50
2016-01-1507:50:00,40
2016-01-1508:00:00,50
2016-01-1508:10:00,50
2016-01-1508:20:00,150
2016-01-1508:30:00,390
2016-01-1508:40:00,390
2016-01-1508:50:00,380
2016-01-1509:00:00,400
2016-01-1509:10:00,370
2016-01-1509:20:00,310
2016-01-1509:30:00,40
2016-01-1509:40:00,50
2016-01-1509:50:00,70
2016-01-1510:00:00,60
2016-01-1510:10:00,90
2016-01-1510:20:00,60
2016-01-1510:30:00,60
2016-01-1510:40:00,100
2016-01-1510:50:00,380
2016-01-1511:00:00,390
2016-01-1511:10:00,130
2016-01-1511:20:00,60
2016-01-1511:30:00,60
2016-01-1511:40:00,50
2016-01-1511:50:00,60
2016-01-1512:00:00,60
2016-01-1512:10:00,240
2016-01-1512:20:00,80
2016-01-1512:30:00,80
2016-01-1512:40:00,400
2016-01-1512:50:00,400
2016-01-1513:00:00,460
2016-01-1513:10:00,170
2016-01-1513:20:00,210
2016-01-1513:30:00,190
2016-01-1513:40:00,70
2016-01-1513:50:00,80
2016-01-1514:00:00,60
2016-01-1514:10:00,70
2016-01-1514:20:00,60
2016-01-1514:30:00,70
2016-01-1514:40:00,60
2016-01-1514:50:00,60
2016-01-1515:00:00,60
2016-01-1515:10:00,60
2016-01-1515:20:00,60
2016-01-1515:30:00,50
2016-01-1515:40:00,50
2016-01-1515:50:00,60
2016-01-1516:00:00,50
2016-01-1516:10:00,50
2016-01-1516:20:00,70
2016-01-1516:30:00,50
2016-01-1516:40:00,60
2016-01-1516:50:00,60
2016-01-1517:00:00,90
2016-01-1517:10:00,100
2016-01-1517:20:00,90
2016-01-1517:30:00,100
2016-01-1517:40:00,110
2016-01-1517:50:00,100
2016-01-1518:00:00,80
2016-01-1518:10:00,110
2016-01-1518:20:00,260
2016-01-1518:30:00,350
2016-01-1518:40:00,500
2016-01-1518:50:00,370
2016-01-1519:00:00,330
2016-01-1519:10:00,100
2016-01-1519:20:00,110
2016-01-1519:30:00,140
2016-01-1519:40:00,310
2016-01-1519:50:00,330
2016-01-1520:00:00,190
2016-01-1520:10:00,160
2016-01-1520:20:00,160
2016-01-1520:30:00,480
2016-01-1520:40:00,280
2016-01-1520:50:00,130
2016-01-1521:00:00,150
2016-01-1521:10:00,140
2016-01-1521:20:00,130
2016-01-1521:30:00,130
2016-01-1521:40:00,340
2016-01-1521:50:00,490
2016-01-1522:00:00,230
2016-01-1522:10:00,360
2016-01-1522:20:00,410
2016-01-1522:30:00,150
2016-01-1522:40:00,80
2016-01-1522:50:00,80
2016-01-1523:00:00,70
2016-01-1523:10:00,70
2016-01-1523:20:00,70
2016-01-1523:30:00,60
2016-01-1523:40:00,60
2016-01-1523:50:00,50
2016-01-1600:00:00,50
2016-01-1600:10:00,50
2016-01-1600:20:00,30
2016-01-1600:30:00,20
2016-01-1600:40:00,40
2016-01-1600:50:00,50
2016-01-1601:00:00,50
2016-01-1601:10:00,50
2016-01-1601:20:00,60
2016-01-1601:30:00,50
2016-01-1601:40:00,60
2016-01-1601:50:00,50
2016-01-1602:00:00,40
2016-01-1602:10:00,50
2016-01-1602:20:00,50
2016-01-1602:30:00,50
2016-01-1602:40:00,50
2016-01-1602:50:00,40
2016-01-1603:00:00,30
2016-01-1603:10:00,30
2016-01-1603:20:00,40
2016-01-1603:30:00,50
2016-01-1603:40:00,50
2016-01-1603:50:00,50
2016-01-1604:00:00,50
2016-01-1604:10:00,60
2016-01-1604:20:00,50
2016-01-1604:30:00,50
2016-01-1604:40:00,40
2016-01-1604:50:00,50
2016-01-1605:00:00,50
2016-01-1605:10:00,50
2016-01-1605:20:00,50
2016-01-1605:30:00,30
2016-01-1605:40:00,30
2016-01-1605:50:00,30
2016-01-1606:00:00,50
2016-01-1606:10:00,50
2016-01-1606:20:00,40
2016-01-1606:30:00,60
2016-01-1606:40:00,60
2016-01-1606:50:00,50
2016-01-1607:00:00,50
2016-01-1607:10:00,50
2016-01-1607:20:00,220
2016-01-1607:30:00,390
2016-01-1607:40:00,380
2016-01-1607:50:00,390
2016-01-1608:00:00,390
2016-01-1608:10:00,240
2016-01-1608:20:00,40
2016-01-1608:30:00,70
2016-01-1608:40:00,50
2016-01-1608:50:00,50
2016-01-1609:00:00,70
2016-01-1609:10:00,60
2016-01-1609:20:00,70
2016-01-1609:30:00,60
2016-01-1609:40:00,50
2016-01-1609:50:00,60
2016-01-1610:00:00,60
2016-01-1610:10:00,80
2016-01-1610:20:00,100
2016-01-1610:30:00,60
2016-01-1610:40:00,70
2016-01-1610:50:00,60
2016-01-1611:00:00,60
2016-01-1611:10:00,50
2016-01-1611:20:00,50
2016-01-1611:30:00,40
2016-01-1611:40:00,50
2016-01-1611:50:00,70
2016-01-1612:00:00,60
2016-01-1612:10:00,60
2016-01-1612:20:00,80
2016-01-1612:30:00,80
2016-01-1612:40:00,80
2016-01-1612:50:00,90
2016-01-1613:00:00,90
2016-01-1613:10:00,100
2016-01-1613:20:00,80
2016-01-1613:30:00,90
2016-01-1613:40:00,80
2016-01-1613:50:00,80
2016-01-1614:00:00,80
2016-01-1614:10:00,80
2016-01-1614:20:00,90
2016-01-1614:30:00,70
2016-01-1614:40:00,50
2016-01-1614:50:00,60
2016-01-1615:00:00,70
2016-01-1615:10:00,80
2016-01-1615:20:00,70
2016-01-1615:30:00,370
2016-01-1615:40:00,410
2016-01-1615:50:00,250
2016-01-1616:00:00,80
2016-01-1616:10:00,70
2016-01-1616:20:00,70
2016-01-1616:30:00,80
2016-01-1616:40:00,70
2016-01-1616:50:00,80
2016-01-1617:00:00,80
2016-01-1617:10:00,150
2016-01-1617:20:00,380
2016-01-1617:30:00,290
2016-01-1617:40:00,270
2016-01-1617:50:00,420
2016-01-1618:00:00,280
2016-01-1618:10:00,300
2016-01-1618:20:00,350
2016-01-1618:30:00,270
2016-01-1618:40:00,560
2016-01-1618:50:00,1080
2016-01-1619:00:00,750
2016-01-1619:10:00,390
2016-01-1619:20:00,350
2016-01-1619:30:00,340
2016-01-1619:40:00,290
2016-01-1619:50:00,230
2016-01-1620:00:00,120
2016-01-1620:10:00,110
2016-01-1620:20:00,100
2016-01-1620:30:00,110
2016-01-1620:40:00,130
2016-01-1620:50:00,140
2016-01-1621:00:00,110
2016-01-1621:10:00,100
2016-01-1621:20:00,100
2016-01-1621:30:00,110
2016-01-1621:40:00,110
2016-01-1621:50:00,190
2016-01-1622:00:00,450
2016-01-1622:10:00,210
2016-01-1622:20:00,100
2016-01-1622:30:00,90
2016-01-1622:40:00,90
2016-01-1622:50:00,80
2016-01-1623:00:00,70
2016-01-1623:10:00,70
2016-01-1623:20:00,70
2016-01-1623:30:00,60
2016-01-1623:40:00,30
2016-01-1623:50:00,30
2016-01-1700:00:00,30
2016-01-1700:10:00,40
2016-01-1700:20:00,50
2016-01-1700:30:00,60
2016-01-1700:40:00,50
2016-01-1700:50:00,50
2016-01-1701:00:00,50
2016-01-1701:10:00,50
2016-01-1701:20:00,50
2016-01-1701:30:00,50
2016-01-1701:40:00,50
2016-01-1701:50:00,60
2016-01-1702:00:00,50
2016-01-1702:10:00,60
2016-01-1702:20:00,50
2016-01-1702:30:00,40
2016-01-1702:40:00,30
2016-01-1702:50:00,30
2016-01-1703:00:00,30
2016-01-1703:10:00,60
2016-01-1703:20:00,50
2016-01-1703:30:00,60
2016-01-1703:40:00,50
2016-01-1703:50:00,50
2016-01-1704:00:00,50
2016-01-1704:10:00,40
2016-01-1704:20:00,60
2016-01-1704:30:00,50
2016-01-1704:40:00,60
2016-01-1704:50:00,50
2016-01-1705:00:00,50
2016-01-1705:10:00,40
2016-01-1705:20:00,50
2016-01-1705:30:00,50
2016-01-1705:40:00,30
2016-01-1705:50:00,40
2016-01-1706:00:00,30
2016-01-1706:10:00,50
2016-01-1706:20:00,50
2016-01-1706:30:00,40
2016-01-1706:40:00,50
2016-01-1706:50:00,50
2016-01-1707:00:00,170
2016-01-1707:10:00,400
2016-01-1707:20:00,390
2016-01-1707:30:00,370
2016-01-1707:40:00,390
2016-01-1707:50:00,370
2016-01-1708:00:00,380
2016-01-1708:10:00,100
2016-01-1708:20:00,90
2016-01-1708:30:00,470
2016-01-1708:40:00,320
2016-01-1708:50:00,270
2016-01-1709:00:00,260
2016-01-1709:10:00,230
2016-01-1709:20:00,470
2016-01-1709:30:00,400
2016-01-1709:40:00,290
2016-01-1709:50:00,100
2016-01-1710:00:00,90
2016-01-1710:10:00,90
2016-01-1710:20:00,90
2016-01-1710:30:00,90
2016-01-1710:40:00,100
2016-01-1710:50:00,80
2016-01-1711:00:00,180
2016-01-1711:10:00,440
2016-01-1711:20:00,300
2016-01-1711:30:00,250
2016-01-1711:40:00,280
2016-01-1711:50:00,460
2016-01-1712:00:00,120
2016-01-1712:10:00,120
2016-01-1712:20:00,110
2016-01-1712:30:00,130
2016-01-1712:40:00,110
2016-01-1712:50:00,120
2016-01-1713:00:00,120
2016-01-1713:10:00,120
2016-01-1713:20:00,130
2016-01-1713:30:00,120
2016-01-1713:40:00,120
2016-01-1713:50:00,410
2016-01-1714:00:00,420
2016-01-1714:10:00,140
2016-01-1714:20:00,60
2016-01-1714:30:00,60
2016-01-1714:40:00,70
2016-01-1714:50:00,80
2016-01-1715:00:00,100
2016-01-1715:10:00,80
2016-01-1715:20:00,80
2016-01-1715:30:00,70
2016-01-1715:40:00,80
2016-01-1715:50:00,80
2016-01-1716:00:00,90
2016-01-1716:10:00,80
2016-01-1716:20:00,80
2016-01-1716:30:00,80
2016-01-1716:40:00,80
2016-01-1716:50:00,80
2016-01-1717:00:00,90
2016-01-1717:10:00,130
2016-01-1717:20:00,380
2016-01-1717:30:00,800
2016-01-1717:40:00,790
2016-01-1717:50:00,540
2016-01-1718:00:00,120
2016-01-1718:10:00,110
2016-01-1718:20:00,160
2016-01-1718:30:00,140
2016-01-1718:40:00,550
2016-01-1718:50:00,530
2016-01-1719:00:00,100
2016-01-1719:10:00,100
2016-01-1719:20:00,90
2016-01-1719:30:00,90
2016-01-1719:40:00,100
2016-01-1719:50:00,130
2016-01-1720:00:00,110
2016-01-1720:10:00,120
2016-01-1720:20:00,100
2016-01-1720:30:00,110
2016-01-1720:40:00,100
2016-01-1720:50:00,120
2016-01-1721:00:00,250
2016-01-1721:10:00,110
2016-01-1721:20:00,110
2016-01-1721:30:00,150
2016-01-1721:40:00,110
2016-01-1721:50:00,50
2016-01-1722:00:00,40
2016-01-1722:10:00,50
2016-01-1722:20:00,50
2016-01-1722:30:00,70
2016-01-1722:40:00,60
2016-01-1722:50:00,60
2016-01-1723:00:00,70
2016-01-1723:10:00,50
2016-01-1723:20:00,70
2016-01-1723:30:00,60
2016-01-1723:40:00,70
2016-01-1723:50:00,60
2016-01-1800:00:00,60
2016-01-1800:10:00,50
2016-01-1800:20:00,40
2016-01-1800:30:00,30
2016-01-1800:40:00,40
2016-01-1800:50:00,50
2016-01-1801:00:00,50
2016-01-1801:10:00,40
2016-01-1801:20:00,50
2016-01-1801:30:00,40
2016-01-1801:40:00,40
2016-01-1801:50:00,40
2016-01-1802:00:00,60
2016-01-1802:10:00,50
2016-01-1802:20:00,50
2016-01-1802:30:00,40
2016-01-1802:40:00,40
2016-01-1802:50:00,20
2016-01-1803:00:00,30
2016-01-1803:10:00,20
2016-01-1803:20:00,50
2016-01-1803:30:00,60
2016-01-1803:40:00,40
2016-01-1803:50:00,50
2016-01-1804:00:00,40
2016-01-1804:10:00,40
2016-01-1804:20:00,50
2016-01-1804:30:00,50
2016-01-1804:40:00,40
2016-01-1804:50:00,50
2016-01-1805:00:00,40
2016-01-1805:10:00,50
2016-01-1805:20:00,30
2016-01-1805:30:00,20
2016-01-1805:40:00,30
2016-01-1805:50:00,30
2016-01-1806:00:00,50
2016-01-1806:10:00,80
2016-01-1806:20:00,40
2016-01-1806:30:00,50
2016-01-1806:40:00,40
2016-01-1806:50:00,70
2016-01-1807:00:00,100
2016-01-1807:10:00,60
2016-01-1807:20:00,50
2016-01-1807:30:00,40
2016-01-1807:40:00,40
2016-01-1807:50:00,40
2016-01-1808:00:00,20
2016-01-1808:10:00,20
2016-01-1808:20:00,30
2016-01-1808:30:00,50
2016-01-1808:40:00,50
2016-01-1808:50:00,40
2016-01-1809:00:00,40
2016-01-1809:10:00,40
2016-01-1809:20:00,40
2016-01-1809:30:00,50
2016-01-1809:40:00,50
2016-01-1809:50:00,50
2016-01-1810:00:00,40
2016-01-1810:10:00,40
2016-01-1810:20:00,20
2016-01-1810:30:00,20
2016-01-1810:40:00,30
2016-01-1810:50:00,40
2016-01-1811:00:00,50
2016-01-1811:10:00,50
2016-01-1811:20:00,40
2016-01-1811:30:00,40
2016-01-1811:40:00,50
2016-01-1811:50:00,40
2016-01-1812:00:00,40
2016-01-1812:10:00,50
2016-01-1812:20:00,40
2016-01-1812:30:00,50
2016-01-1812:40:00,40
2016-01-1812:50:00,20
2016-01-1813:00:00,20
2016-01-1813:10:00,30
2016-01-1813:20:00,40
2016-01-1813:30:00,50
2016-01-1813:40:00,50
2016-01-1813:50:00,50
2016-01-1814:00:00,40
2016-01-1814:10:00,40
2016-01-1814:20:00,40
2016-01-1814:30:00,40
2016-01-1814:40:00,40
2016-01-1814:50:00,50
2016-01-1815:00:00,50
2016-01-1815:10:00,30
